id,name,now_cost,position,team,mng_clean_sheets,mng_goals_scored,now_cost_rank_type,expected_goals,threat_rank,dreamteam_count,news,influence_rank,assists,transfers_out_event,red_cards,expected_goals_conceded_per_90,bonus,birth_date,penalties_missed,news_added,ict_index_rank,threat_rank_type,minutes,starts,own_goals,web_name,form_rank_type,transfers_out,saves,cost_change_event_fall,selected_rank,in_dreamteam,corners_and_indirect_freekicks_order,selected_rank_type,can_select,value_form,form,region,creativity,points_per_game_rank,penalties_saved,bps,team_join_date,mng_draw,goals_scored,influence_rank_type,ict_index,threat,goals_conceded,form_rank,cost_change_event,transfers_in_event,expected_goals_conceded,points_per_game,goals_conceded_per_90,cost_change_start,mng_win,yellow_cards,direct_freekicks_order,cost_change_start_fall,ep_this,opta_code,expected_goal_involvements_per_90,status,value_season,starts_per_90,clean_sheets_per_90,selected_by_percent,expected_goal_involvements,expected_goals_per_90,chance_of_playing_next_round,penalties_order,transfers_in,creativity_rank_type,points_per_game_rank_type,clean_sheets,mng_underdog_win,now_cost_rank,event_points,influence,expected_assists,mng_underdog_draw,mng_loss,total_points,saves_per_90,expected_assists_per_90,ict_index_rank_type,chance_of_playing_this_round,ep_next,creativity_rank
786,Benjamin Fredrick,40,DEF,Brentford,0,0,228,0.00,581,0,,630,0,1,0,0.0,0,,0,,630,228,0,0,0,Benjamin Fredrick,197,1,0,0,786,False,,260,True,0.0,0.0,,0.0,635,0,0,,0,0,237,0.0,0.0,0,502,0,3,0.00,0.0,0.0,0,0,0,,0,1.4,p612534,0.0,a,0.0,0.0,0.0,0.0,0.00,0.0,,,3,237,235,0,0,715,0,0.0,0.00,0,0,0,0.0,0.0,237,,0.9,615
113,Simon Adingra,51,MID,Brighton,0,0,118,1.47,148,0,,311,1,94,0,1.67,0,2002-01-01,0,2024-09-29T22:30:06.392264Z,258,94,606,6,0,Adingra,145,154511,0,0,321,False,,98,True,0.2,0.8,54.0,124.8,286,0,125,2022-06-24,0,2,142,44.0,174.0,13,302,0,41,11.25,2.0,1.93,-4,0,0,,4,0.8,p535818,0.46,a,7.5,0.89,0.15,0.3,3.07,0.22,100.0,,116759,146,125,1,0,190,1,142.0,1.60,0,0,38,0.0,0.24,130,100.0,0.3,230
114,Benicio Baker-Boaitey,45,MID,Brighton,0,0,255,0.00,672,0,Loaned to Port Vale,692,0,0,0,0.0,0,,0,2024-08-10T12:17:28.055765Z,692,270,0,0,0,Baker-Boaitey,226,534,0,0,772,False,,332,False,0.0,0.0,,0.0,696,0,0,,0,0,276,0.0,0.0,0,614,0,0,0.00,0.0,0.0,0,0,0,,0,0.0,p475480,0.0,u,0.0,0.0,0.0,0.0,0.00,0.0,0.0,,0,276,277,0,0,408,0,0.0,0.00,0,0,0,0.0,0.0,275,0.0,0.0,688
115,Carlos Baleba,50,MID,Brighton,0,0,149,2.47,163,1,,164,1,125,1,1.22,4,2004-01-03,0,2025-02-01T22:30:07.945590Z,148,103,1862,22,0,Baleba,62,57308,0,0,414,False,,138,True,0.5,2.5,38.0,251.3,201,0,323,2023-08-29,0,2,64,75.3,160.0,23,152,0,121,25.24,2.5,1.11,0,0,5,,0,2.5,p535301,0.17,a,12.0,1.06,0.34,0.2,3.46,0.12,100.0,,63547,88,83,7,0,233,2,341.4,0.99,0,0,60,0.0,0.05,84,100.0,2.0,126
116,Valentín Barco,40,DEF,Brighton,0,0,208,0.00,562,0,Loaned to Sevilla,612,0,552,0,0.0,0,,0,2024-08-23T23:00:06.122778Z,612,211,0,0,0,Barco,179,1992652,0,0,136,False,,50,False,0.0,0.0,,0.0,617,0,0,,0,0,221,0.0,0.0,0,482,0,0,0.00,0.0,0.0,0,0,0,,0,0.0,p543158,0.0,u,0.0,0.0,0.0,2.1,0.00,0.0,0.0,,34254,221,219,0,0,693,0,0.0,0.00,0,0,0,0.0,0.0,221,0.0,0.0,597
118,Amario Cozier-Duberry,45,MID,Brighton,0,0,277,0.00,691,0,Loaned to Blackburn Rovers,710,0,4,0,0.0,0,,0,2024-08-31T06:29:40.845798Z,710,285,0,0,0,Cozier-Duberry,245,13694,0,0,633,False,,254,False,0.0,0.0,,0.0,713,0,0,,0,0,291,0.0,0.0,0,637,0,0,0.00,0.0,0.0,0,0,0,,0,0.0,p519324,0.0,u,0.0,0.0,0.0,0.0,0.00,0.0,0.0,,1560,291,292,0,0,438,0,0.0,0.00,0,0,0,0.0,0.0,290,0.0,0.0,705
119,Mahmoud Dahoud,49,MID,Brighton,0,0,160,0.00,745,0,Transferred to Eintracht Frankfurt,756,0,3,0,0.0,0,,0,2024-08-31T06:30:37.645175Z,756,319,0,0,0,Dahoud,291,2980,0,0,708,False,,292,False,0.0,0.0,,0.0,756,0,0,,0,0,321,0.0,0.0,0,706,0,0,0.00,0.0,0.0,-1,0,0,,1,0.0,p168090,0.0,u,0.0,0.0,0.0,0.0,0.00,0.0,0.0,,380,322,322,0,0,253,0,0.0,0.00,0,0,0,0.0,0.0,321,0.0,0.0,754
120,Lewis Dunk,42,DEF,Brighton,0,0,142,0.69,259,0,Rib Injury - Unknown return date,169,1,3439,0,1.59,0,1991-11-21,0,2025-02-10T09:30:07.007419Z,231,74,1560,17,1,Dunk,206,967659,0,0,122,False,,44,True,0.0,0.0,241.0,100.8,277,0,188,2009-07-01,0,0,63,51.2,79.0,30,517,0,15,27.48,2.0,1.73,-3,0,4,4.0,3,0.0,p83299,0.08,i,9.0,0.98,0.23,2.5,1.33,0.04,0.0,,730630,66,90,4,0,600,0,332.2,0.64,0,0,38,0.0,0.04,71,0.0,0.0,253
122,Pervis Estupiñán,49,DEF,Brighton,0,0,30,0.50,229,1,,174,1,802,0,1.48,6,1998-01-21,0,2025-01-26T12:00:08.902967Z,128,61,1599,17,0,Estupiñan,69,348032,0,0,229,False,2.0,87,True,0.2,1.2,62.0,395.1,267,0,222,2022-07-16,0,0,65,81.0,98.0,26,246,0,1143,26.38,2.1,1.46,-1,0,3,2.0,1,1.2,p204214,0.12,a,9.0,0.96,0.11,0.8,2.18,0.03,100.0,,393864,12,86,2,0,261,2,315.2,1.68,0,0,44,0.0,0.09,32,100.0,0.7,66
124,Billy Gilmour,50,MID,Brighton,0,0,136,0.08,461,0,Transferred to Napoli,480,0,2,0,1.22,0,,0,2024-08-31T06:42:09.507349Z,482,236,97,1,0,Gilmour,305,16602,0,0,597,False,,230,False,0.0,0.0,,11.9,374,0,21,,0,0,223,2.5,2.0,1,723,0,0,1.32,1.5,0.93,0,0,0,,0,0.0,p243568,0.11,u,0.6,0.93,0.0,0.0,0.12,0.07,0.0,,2640,224,178,0,0,215,0,11.4,0.04,0,0,3,0.0,0.04,227,0.0,0.0,427
125,Pascal Groß,65,MID,Brighton,0,0,20,0.00,785,0,Permanent transfer to Borussia Dortmund,785,0,0,0,0.0,0,,0,2024-08-02T13:11:40.837259Z,785,339,0,0,0,Gross,337,8253,0,0,642,False,,261,False,0.0,0.0,,0.0,783,0,0,,0,0,339,0.0,0.0,0,775,0,0,0.00,0.0,0.0,0,0,0,,0,0.0,p60307,0.0,u,0.0,0.0,0.0,0.0,0.00,0.0,0.0,,0,339,339,0,0,39,0,0.0,0.00,0,0,0,0.0,0.0,339,0.0,0.0,785
126,Jack Hinshelwood,49,MID,Brighton,0,0,184,0.88,221,1,,259,0,53,0,1.53,5,2005-04-11,0,2024-11-10T01:30:07.476316Z,260,127,1162,14,0,Hinshelwood,26,25234,0,0,534,False,,197,True,0.8,4.0,241.0,125.2,160,0,198,2022-12-30,0,2,119,42.9,104.0,17,76,0,104,19.81,2.8,1.32,-1,0,3,,1,4.0,p532529,0.13,a,9.2,1.08,0.39,0.1,1.67,0.07,100.0,,25059,145,69,5,0,284,2,197.2,0.79,0,0,45,0.0,0.06,132,100.0,3.5,229
127,Ibrahim Osman,50,MID,Brighton,0,0,153,0.00,769,0,Loaned to Feyenoord,775,0,1,0,0.0,0,,0,2024-08-16T11:54:28.483822Z,775,332,0,0,0,I.Osman,311,1151,0,0,756,False,,319,False,0.0,0.0,,0.0,773,0,0,,0,0,333,0.0,0.0,0,734,0,0,0.00,0.0,0.0,0,0,0,,0,0.0,p612855,0.0,u,0.0,0.0,0.0,0.0,0.00,0.0,0.0,,0,333,333,0,0,239,0,0.0,0.00,0,0,0,0.0,0.0,333,0.0,0.0,774
128,Igor Julio dos Santos de Paulo,43,DEF,Brighton,0,0,126,0.05,441,0,Hamstring injury - Expected back 01 Jun,273,0,21,0,1.53,0,1998-02-07,0,2025-01-04T22:00:07.109334Z,345,162,900,9,0,Igor,221,20482,0,0,507,False,,173,True,0.0,0.0,30.0,40.5,381,0,103,2023-07-26,0,0,100,22.7,4.0,16,538,0,5,15.26,1.4,1.6,-2,0,4,,2,0.0,p223434,0.02,i,4.0,0.9,0.1,0.1,0.28,0.0,0.0,,13338,107,124,1,0,579,0,182.2,0.23,0,0,17,0.0,0.02,113,0.0,0.0,337
129,João Pedro Junqueira de Jesus,55,FWD,Brighton,0,0,33,6.84,37,4,,87,6,9315,0,1.1,23,2001-09-26,0,2025-01-09T16:30:08.389436Z,51,16,1608,19,0,João Pedro,1,5717979,0,0,26,False,,6,True,1.4,7.5,30.0,341.6,13,0,441,2023-06-14,0,8,10,135.3,543.0,19,8,0,80034,19.74,5.0,1.06,0,0,3,,0,7.5,p475168,0.52,a,20.0,1.06,0.34,14.1,9.32,0.38,100.0,1.0,5343675,5,6,6,0,118,9,474.2,2.48,0,0,110,0.0,0.14,12,100.0,7.0,85
130,Kacper Kozłowski,45,MID,Brighton,0,0,256,0.00,674,0,Permanent transfer to Gaziantep FK,694,0,0,0,0.0,0,,0,2024-07-22T09:03:00.342050Z,694,271,0,0,0,Kozlowski,227,97,0,0,785,False,,340,False,0.0,0.0,,0.0,698,0,0,,0,0,277,0.0,0.0,0,616,0,0,0.00,0.0,0.0,0,0,0,,0,0.0,p484658,0.0,u,0.0,0.0,0.0,0.0,0.00,0.0,0.0,,0,277,278,0,0,410,0,0.0,0.00,0,0,0,0.0,0.0,276,0.0,0.0,690
131,Tariq Lamptey,44,DEF,Brighton,0,0,103,0.38,301,1,,265,2,900,0,1.52,1,2000-09-30,0,2025-03-03T01:00:07.467943Z,294,95,762,9,0,Lamptey,27,78818,0,0,301,False,,111,True,0.8,3.5,81.0,95.1,124,0,99,2020-01-31,0,2,96,33.6,48.0,20,102,0,212,12.91,3.1,2.36,-1,0,0,,1,0.0,p232792,0.1,a,9.1,1.06,0.24,0.4,0.91,0.04,100.0,,87443,70,33,2,0,520,0,192.0,0.53,0,0,40,0.0,0.06,91,0.0,3.0,263
132,Solly March,65,MID,Brighton,0,0,21,0.07,430,0,,486,0,74,0,1.61,0,1994-07-20,0,2025-01-26T12:00:08.941531Z,491,224,37,0,0,March,165,5336,0,0,613,False,,241,True,0.1,0.5,241.0,5.5,518,0,13,2012-07-01,0,0,227,2.1,6.0,0,353,0,150,0.66,0.8,0.0,0,0,1,,0,0.5,p109345,0.22,a,0.5,0.0,0.0,0.0,0.09,0.17,100.0,,6244,230,244,0,0,40,1,9.6,0.02,0,0,3,0.0,0.05,230,100.0,0.0,453
133,Adrian Mazilu,45,MID,Brighton,0,0,289,0.00,707,0,Has joined Vitesse Arnhem on loan for the rest of the season,724,0,0,0,0.0,0,,0,2024-08-29T11:08:43.963582Z,724,297,0,0,0,Mazilu,257,4106,0,0,701,False,,289,False,0.0,0.0,,0.0,727,0,0,,0,0,302,0.0,0.0,0,652,0,0,0.00,0.0,0.0,0,0,0,,0,0.0,p550141,0.0,u,0.0,0.0,0.0,0.0,0.00,0.0,0.0,,720,302,303,0,0,455,0,0.0,0.00,0,0,0,0.0,0.0,301,0.0,0.0,719
134,James Milner,50,MID,Brighton,0,0,119,0.16,395,0,Hamstring injury - Unknown return date,437,0,9,0,1.05,0,1986-01-04,0,2024-08-31T21:00:04.655035Z,406,210,169,3,0,Milner,300,10802,0,0,586,False,,227,True,0.0,0.0,241.0,66.3,338,0,24,2023-07-01,0,0,201,10.7,12.0,1,718,0,8,1.98,1.7,0.53,0,0,1,,0,0.0,p15157,0.17,i,1.0,1.6,0.53,0.0,0.31,0.09,0.0,,4798,180,154,1,0,192,0,28.6,0.15,0,0,5,0.0,0.08,198,0.0,0.0,299
135,Yankuba Minteh,50,MID,Brighton,0,0,152,3.25,52,2,,128,4,4206,0,1.26,6,2004-07-22,0,2025-01-12T22:30:08.694313Z,74,33,1175,12,0,Minteh,4,397663,0,0,147,False,5.0,50,True,1.2,6.2,78.0,315.1,120,0,304,2024-07-01,0,5,47,114.7,427.0,20,17,0,7098,16.44,3.2,1.53,-5,0,6,,5,6.2,p592031,0.52,a,14.8,0.92,0.23,1.9,6.82,0.25,100.0,,465862,73,53,3,0,238,2,403.0,3.57,0,0,74,0.0,0.27,50,100.0,5.7,96
136,Mitoma Kaoru,65,MID,Brighton,0,0,25,6.87,21,1,,66,4,15208,0,1.29,12,1997-05-20,0,2025-03-03T01:00:07.487190Z,23,12,2230,25,0,Mitoma,8,2175103,0,0,33,False,,8,True,0.8,5.5,108.0,491.2,44,0,417,2021-08-09,0,7,21,166.9,665.0,31,28,0,22070,31.86,4.2,1.25,0,0,0,,0,5.5,p451340,0.42,a,18.0,1.01,0.24,10.0,10.46,0.28,100.0,,2848112,40,22,6,0,46,2,511.2,3.59,0,0,117,0.0,0.14,16,100.0,5.0,48
137,Jakub Moder,44,MID,Brighton,0,0,313,0.00,457,0,Loaned to Feyenoord,469,0,387,0,2.6,0,,0,2025-01-22T10:15:11.772489Z,452,233,9,0,0,Moder,191,171346,0,0,278,False,,84,False,0.0,0.0,172.0,36.0,458,0,17,2020-10-05,0,0,217,5.4,2.0,0,563,0,0,0.26,1.0,0.0,-1,0,0,,1,0.0,p243505,5.3,u,0.9,0.0,0.0,0.5,0.53,0.0,0.0,,173459,196,208,0,0,523,0,15.8,0.53,0,0,4,0.0,5.3,215,0.0,0.0,351
138,Mark O’Mahony,45,FWD,Brighton,0,0,76,0.00,715,0,Season long to Portsmouth,732,0,32,0,0.0,0,,0,2024-08-30T10:16:16.061223Z,732,65,0,0,0,O’Mahony,48,73347,0,0,373,False,,58,False,0.0,0.0,,0.0,734,0,0,,0,0,64,0.0,0.0,0,660,0,0,0.00,0.0,0.0,0,0,0,,0,0.0,p574402,0.0,u,0.0,0.0,0.0,0.2,0.00,0.0,0.0,,31158,64,67,0,0,466,0,0.0,0.00,0,0,0,0.0,0.0,65,0.0,0.0,728
139,Odeluga Offiah,40,DEF,Brighton,0,0,180,0.00,532,0,Loaned to Blackpool,586,0,5,0,0.0,0,,0,2024-08-31T06:26:46.238644Z,586,189,0,0,0,Offiah,157,13601,0,0,542,False,,190,False,0.0,0.0,,0.0,590,0,0,,0,0,203,0.0,0.0,0,452,0,0,0.00,0.0,0.0,0,0,0,,0,0.0,p445548,0.0,u,0.0,0.0,0.0,0.1,0.00,0.0,0.0,,2639,202,200,0,0,657,0,0.0,0.00,0,0,0,0.0,0.0,203,0.0,0.0,570
140,Cameron Peupion,44,MID,Brighton,0,0,316,0.00,630,0,Loaned to ADO Den Haag,655,0,37,0,0.0,0,,0,2025-02-03T10:22:59.975748Z,655,243,0,0,0,Peupion,194,11865,0,0,546,False,,201,False,0.0,0.0,13.0,0.0,660,0,0,2022-08-23,0,0,251,0.0,0.0,0,569,0,0,0.00,0.0,0.0,-1,0,0,,1,0.0,p491598,0.0,u,0.0,0.0,0.0,0.1,0.00,0.0,0.0,,10268,252,253,0,0,535,0,0.0,0.00,0,0,0,0.0,0.0,250,0.0,0.0,650
141,Jeremy Sarmiento Morante,49,MID,Brighton,0,0,175,0.00,749,0,Loaned to Burnley,528,0,0,0,0.0,0,,0,2024-08-31T06:27:42.007071Z,528,322,8,0,0,Sarmiento,296,2961,0,0,715,False,,298,False,0.0,0.0,,0.8,491,0,3,,0,0,246,0.1,0.0,0,712,0,0,0.00,1.0,0.0,-1,0,0,,1,0.0,p441192,0.0,u,0.2,0.0,0.0,0.0,0.00,0.0,0.0,,354,240,230,0,0,272,0,0.2,0.00,0,0,1,0.0,0.0,245,0.0,0.0,484
142,Jason Steele,41,GKP,Brighton,0,0,39,0.00,590,0,Shoulder injury - Unknown return date,414,0,472,0,0.94,1,1990-08-18,0,2025-01-24T16:00:08.785970Z,468,45,180,2,0,Steele,66,342022,3,0,237,False,,31,True,0.0,0.0,241.0,0.0,26,0,46,2018-07-01,0,0,36,4.1,0.0,1,511,0,24,1.88,4.5,0.5,-4,0,0,,4,0.0,p49262,0.0,i,2.2,1.0,0.5,0.8,0.00,0.0,0.0,,298208,60,2,1,0,620,0,40.4,0.00,0,0,9,1.5,0.0,36,0.0,0.0,623
143,Deniz Undav,55,FWD,Brighton,0,0,32,0.00,779,0,Transferred to Stuttgart,781,0,0,0,0.0,0,,0,2024-08-10T12:18:55.962223Z,781,82,0,0,0,Undav,75,1472,0,0,744,False,,85,False,0.0,0.0,,0.0,779,0,0,,0,0,82,0.0,0.0,0,762,0,0,0.00,0.0,0.0,0,0,0,,0,0.0,p450434,0.0,u,0.0,0.0,0.0,0.0,0.00,0.0,0.0,,0,82,82,0,0,117,0,0.0,0.00,0,0,0,0.0,0.0,82,0.0,0.0,781
144,Jan Paul van Hecke,45,DEF,Brighton,0,0,70,1.21,180,2,,39,1,1241,0,1.29,6,2000-06-08,0,2024-09-29T22:30:06.452903Z,105,36,2240,25,0,Van Hecke,3,201082,0,0,205,False,,78,True,1.3,5.8,152.0,210.8,142,0,346,2020-09-10,0,1,13,94.8,145.0,32,23,0,8954,31.99,2.9,1.29,0,0,5,,0,5.8,p469142,0.09,a,16.9,1.0,0.24,1.1,2.33,0.05,100.0,,268061,31,40,6,0,407,9,591.2,1.12,0,0,76,0.0,0.04,20,100.0,5.3,153
145,Joël Veltman,44,DEF,Brighton,0,0,87,0.47,281,1,Foot injury - Unknown return date,203,0,3936,0,1.3,7,1992-01-15,0,2025-02-22T21:30:09.237196Z,249,83,1642,19,0,Veltman,62,632208,0,0,173,False,,66,True,0.3,1.5,152.0,143.8,122,0,247,2020-07-29,0,0,75,47.4,59.0,23,221,0,9,23.78,3.1,1.26,-1,0,4,,1,0.0,p111478,0.1,i,13.2,1.04,0.33,1.4,1.76,0.03,0.0,,643173,51,31,6,0,496,0,269.2,1.29,0,0,58,0.0,0.07,80,0.0,0.0,205
146,Bart Verbruggen,45,GKP,Brighton,0,0,17,0.00,675,1,,33,1,3727,0,1.45,5,2002-08-18,0,2024-08-12T14:30:04.523944Z,193,70,2340,26,0,Verbruggen,3,441696,65,0,109,False,,16,True,1.2,5.2,152.0,10.0,117,0,296,2023-07-03,0,0,10,62.1,0.0,39,33,0,1990,37.62,3.2,1.5,0,0,4,,0,5.2,p489639,0.0,a,18.2,1.0,0.23,2.9,0.01,0.0,100.0,,685729,14,17,6,0,413,2,610.4,0.01,0,0,82,2.5,0.0,9,100.0,4.7,441
147,Adam Webster,43,DEF,Brighton,0,0,116,0.02,357,0,,310,0,230,0,1.28,0,1995-01-04,0,2024-12-23T14:30:07.986462Z,366,118,525,7,0,Webster,16,13409,0,0,443,False,,154,True,0.9,4.0,241.0,30.9,191,0,117,2019-08-03,0,0,113,19.7,25.0,6,71,0,399,7.44,2.5,1.03,-2,0,0,,2,4.0,p110735,0.02,a,5.8,1.2,0.51,0.1,0.15,0.0,100.0,,13148,125,57,3,0,567,2,142.0,0.13,0,0,25,0.0,0.02,120,100.0,3.5,366
148,Danny Welbeck,55,FWD,Brighton,0,0,28,6.66,50,1,,143,4,5572,0,1.62,15,1990-11-26,0,2025-02-22T21:30:09.255845Z,92,19,1467,17,0,Welbeck,9,3701071,0,0,62,False,,14,True,0.7,4.0,241.0,228.4,33,0,332,2020-10-18,0,7,17,105.7,452.0,23,79,0,2949,26.45,4.3,1.41,0,0,2,1.0,0,4.0,p50175,0.48,a,16.5,1.04,0.37,6.1,7.77,0.41,100.0,3.0,3925832,14,12,6,0,105,1,376.0,1.11,0,0,91,0.0,0.07,19,100.0,3.5,142
149,Mats Wieffer,47,MID,Brighton,0,0,221,0.50,283,0,,289,2,20,0,1.86,3,1999-11-16,0,2024-12-21T22:00:08.030972Z,305,158,480,4,0,Wieffer,158,21485,0,0,543,False,,199,True,0.1,0.5,152.0,103.9,297,0,114,2024-07-06,0,1,131,31.7,57.0,12,338,0,8,9.92,1.9,2.25,-3,0,3,,3,0.5,p467779,0.13,a,6.4,0.75,0.19,0.1,0.72,0.09,100.0,,16419,155,130,1,0,339,1,159.6,0.22,0,0,30,0.0,0.04,154,100.0,0.0,248
595,Brajan Gruda,54,MID,Brighton,0,0,87,0.27,234,0,,383,1,23,0,1.52,0,2004-05-31,0,2025-01-24T00:00:10.185786Z,306,132,373,5,0,Gruda,135,4622,0,0,622,False,,248,True,0.2,1.0,80.0,144.5,375,0,65,2024-08-14,0,0,179,31.6,96.0,9,276,0,13,6.30,1.5,2.17,-1,0,0,,1,1.0,p513433,0.2,a,3.3,1.21,0.24,0.0,0.80,0.07,100.0,,2212,133,179,1,0,138,0,76.2,0.53,0,0,18,0.0,0.13,155,100.0,0.5,204
600,Yasin Ayari,50,MID,Brighton,0,0,147,1.54,154,0,,232,1,21,0,1.27,0,2003-10-06,0,2025-02-01T22:30:08.709133Z,129,97,1422,16,0,Ayari,61,5958,0,0,600,False,3.0,232,True,0.5,2.5,206.0,399.2,302,0,238,2023-01-30,0,0,102,80.5,171.0,16,151,0,64,20.07,1.9,1.01,0,0,3,,0,2.5,p509416,0.23,a,9.2,1.01,0.38,0.0,3.59,0.1,100.0,,5984,50,134,6,0,231,5,235.4,2.05,0,0,46,0.0,0.13,76,100.0,2.0,64
601,Andrew Moran,50,MID,Brighton,0,0,148,0.00,767,0,Loaned to Stoke City,773,0,0,0,0.0,0,,0,2024-08-20T12:19:09.002604Z,773,331,0,0,0,Moran,310,532,0,0,765,False,,327,False,0.0,0.0,,0.0,771,0,0,,0,0,332,0.0,0.0,0,732,0,0,0.00,0.0,0.0,0,0,0,,0,0.0,p513834,0.0,u,0.0,0.0,0.0,0.0,0.00,0.0,0.0,,24,332,332,0,0,232,0,0.0,0.00,0,0,0,0.0,0.0,332,0.0,0.0,772
615,Carl Rushworth,39,GKP,Brighton,0,0,79,0.00,500,0,,563,0,60,0,0.0,0,2001-07-02,0,2024-08-31T06:28:38.039682Z,563,17,0,0,0,Rushworth,38,8294,0,0,528,False,,67,True,0.0,0.0,241.0,0.0,570,0,0,2023-07-01,0,0,55,0.0,0.0,0,418,0,111,0.00,0.0,0.0,-1,0,0,,1,0.0,p472739,0.0,a,0.0,0.0,0.0,0.1,0.00,0.0,100.0,,9198,34,55,0,0,754,0,0.0,0.00,0,0,0,0.0,0.0,55,100.0,-0.5,542
618,Georginio Rutter,51,MID,Brighton,0,0,114,4.57,57,1,,159,5,936,0,1.51,1,2002-04-20,0,2025-01-12T22:30:09.270999Z,96,36,1577,18,0,Georginio,14,300858,0,0,250,False,,79,True,0.9,4.5,73.0,270.0,106,0,275,2024-08-19,0,5,60,101.3,402.0,27,53,0,1019,26.42,3.3,1.54,-4,0,2,,4,4.5,p463067,0.35,a,17.6,1.03,0.34,0.6,6.19,0.26,100.0,,351930,84,48,6,0,185,2,352.4,1.62,0,0,90,0.0,0.09,59,100.0,4.0,116
628,Ferdi Kadioglu,44,DEF,Brighton,0,0,102,0.44,315,0,Toe Injury - Expected back 25 May,332,0,36,0,2.21,0,1999-10-07,0,2024-11-10T01:30:09.967684Z,339,101,385,5,0,F.Kadıoğlu,236,71573,0,0,479,False,,164,True,0.0,0.0,219.0,83.7,114,0,59,2024-08-27,0,1,122,24.0,40.0,8,561,0,3,9.44,3.2,1.87,-1,0,1,,1,0.0,p231416,0.17,i,4.3,1.17,0.47,0.1,0.75,0.1,0.0,,73919,76,26,2,0,519,0,116.4,0.31,0,0,19,0.0,0.07,111,0.0,0.0,274
629,Matt O'Riley,55,MID,Brighton,0,0,70,1.15,209,0,Knee injury - 75% chance of playing,344,1,110,0,1.5,2,2000-11-21,0,2025-03-07T12:00:09.447793Z,277,121,468,5,1,O'Riley,180,16309,0,0,569,False,1.0,215,True,0.0,0.2,58.0,156.7,271,0,113,2024-08-26,0,1,157,37.7,113.0,11,387,0,14,7.80,2.1,2.12,0,0,1,,0,0.2,p219249,0.46,d,4.5,0.96,0.38,0.0,2.39,0.22,75.0,,18100,127,117,2,0,112,0,107.6,1.24,0,0,25,0.0,0.24,141,75.0,-0.2,190
663,Imari Samuels,40,DEF,Brighton,0,0,181,0.00,533,0,Loaned to Dundee,587,0,15,0,0.0,0,,0,2025-01-17T12:29:48.647053Z,587,190,0,0,0,Samuels,158,4973,0,0,605,False,,208,False,0.0,0.0,241.0,0.0,591,0,0,2023-05-17,0,0,204,0.0,0.0,0,453,0,0,0.00,0.0,0.0,0,0,0,,0,0.0,p447720,0.0,u,0.0,0.0,0.0,0.0,0.00,0.0,0.0,,5264,203,201,0,0,658,0,0.0,0.00,0,0,0,0.0,0.0,204,0.0,0.0,571
668,Killian Cahill,39,GKP,Brighton,0,0,82,0.00,507,0,,568,0,740,0,0.0,0,2003-11-03,0,,568,20,0,0,0,Cahill,41,70654,0,0,200,False,,27,True,0.0,0.0,104.0,0.0,574,0,0,2024-08-24,0,0,57,0.0,0.0,0,425,0,72,0.00,0.0,0.0,-1,0,0,,1,0.0,p565858,0.0,a,0.0,0.0,0.0,1.1,0.00,0.0,,,180714,36,57,0,0,762,0,0.0,0.00,0,0,0,0.0,0.0,57,,-0.5,547
681,Ruairi McConville,40,DEF,Brighton,0,0,206,0.00,560,0,Loaned to Norwich City,610,0,6,0,0.0,0,,0,2025-02-04T10:51:39.862174Z,610,209,0,0,0,McConville,177,1444,0,0,684,False,,231,False,0.0,0.0,242.0,0.0,615,0,0,2024-11-22,0,0,219,0.0,0.0,0,480,0,0,0.00,0.0,0.0,0,0,0,,0,0.0,p539721,0.0,u,0.0,0.0,0.0,0.0,0.00,0.0,0.0,,1473,219,217,0,0,691,0,0.0,0.00,0,0,0,0.0,0.0,219,0.0,0.0,595
685,Jacob Slater,40,DEF,Brighton,0,0,219,0.00,573,0,,623,0,38,0,0.0,0,2004-10-05,0,,623,220,0,0,0,Slater,189,1431,0,0,649,False,,219,True,0.0,0.0,241.0,0.0,628,0,0,2024-11-28,0,0,230,0.0,0.0,0,494,0,12,0.00,0.0,0.0,0,0,0,,0,0.0,p589100,0.0,a,0.0,0.0,0.0,0.0,0.00,0.0,,,2084,230,228,0,0,706,0,0.0,0.00,0,0,0,0.0,0.0,230,,-0.5,608
714,Diego Gómez,55,MID,Brighton,0,0,75,0.03,448,0,,430,0,31,0,1.94,0,2003-03-27,0,2025-01-09T16:30:09.168224Z,425,230,177,1,0,Gómez,121,765,0,0,668,False,,274,True,0.2,1.2,168.0,47.3,421,0,43,2025-01-01,0,0,196,8.4,4.0,5,251,0,49,3.82,1.2,2.54,0,0,0,,0,1.2,p514254,0.38,a,1.3,0.51,0.0,0.0,0.74,0.02,100.0,,1540,188,205,0,0,121,1,32.6,0.71,0,0,7,0.0,0.36,204,100.0,0.7,327
739,Fabian Hürzeler,11,MNG,Brighton,2,11,10,0.00,478,0,,543,0,512,0,0.0,0,1993-02-26,0,,543,15,0,0,0,Hürzeler,2,24126,0,0,400,False,,13,True,11.1,12.2,80.0,0.0,550,0,0,2024-06-15,0,0,15,0.0,0.0,0,2,0,1272,0.00,0.0,0.0,0,4,0,,0,12.2,man53902,0.0,a,44.5,0.0,0.0,2.7,0.00,0.0,,,55706,15,15,0,1,778,8,0.0,0.00,0,2,49,0.0,0.0,15,,11.7,521
